alpha, beta, c, latent_features, steps, NDCG
100, 0.01, 100, 50, 150, 0.3620326202419879
100, 0.01, 100, 50, 200, 0.37163174925126596
100, 0.01, 100, 50, 250, 0.3918956840043446
100, 0.01, 100, 70, 100, 0.38411829391983304
100, 0.01, 100, 70, 150, 0.35737173544135376
100, 0.01, 100, 70, 200, 0.3983243646946206
100, 0.01, 100, 70, 250, 0.37952997158200796
100, 0.01, 100, 90, 100, 0.4234146998717886
100, 0.01, 100, 90, 150, 0.35877552556142944
100, 0.01, 100, 90, 200, 0.37107365804715053
100, 0.01, 100, 90, 250, 0.35126648744551475
100, 0.01, 100, 110, 100, 0.398423601762854
100, 0.01, 100, 110, 150, 0.3503299615952327
100, 0.01, 100, 110, 200, 0.3542037854022231
100, 0.01, 100, 110, 250, 0.35078783011812414
100, 0.01, 10, 3, 100, 0.24897440215204308
100, 0.01, 10, 3, 150, 0.2345926403754168
100, 0.01, 10, 3, 200, 0.2593198090226585
100, 0.01, 10, 3, 250, 0.24956096215252382
100, 0.01, 10, 10, 100, 0.3111618666998405
100, 0.01, 10, 10, 150, 0.35177477054930245
100, 0.01, 10, 10, 200, 0.35812664973994524
100, 0.01, 10, 10, 250, 0.39857824145983983
100, 0.01, 10, 30, 100, 0.38638448020662125
100, 0.01, 10, 30, 150, 0.4081820454942027
100, 0.01, 10, 30, 200, 0.41796939662302796
100, 0.01, 10, 30, 250, 0.44685910697401937
100, 0.01, 10, 50, 100, 0.41362313360743613
100, 0.01, 10, 50, 150, 0.4119348291737213
100, 0.01, 10, 50, 200, 0.4021936153435158
100, 0.01, 10, 50, 250, 0.4034838837012093
100, 0.01, 10, 70, 100, 0.42141673802129487
100, 0.01, 10, 70, 150, 0.39633106521564065
100, 0.01, 10, 70, 200, 0.3905898577098722
100, 0.01, 10, 70, 250, 0.38945871527621423
100, 0.01, 10, 90, 100, 0.38274506481921433
100, 0.01, 10, 90, 150, 0.3896202699199131
100, 0.01, 10, 90, 200, 0.3957471292247711
100, 0.01, 10, 90, 250, 0.3636349960794213
100, 0.01, 10, 110, 100, 0.3820053598755689
100, 0.01, 10, 110, 150, 0.3454717561394303
100, 0.01, 10, 110, 200, 0.36613016859074443
100, 0.01, 10, 110, 250, 0.33823888607507036
100, 0.01, 1, 3, 100, 0.25147433812884823
100, 0.01, 1, 3, 150, 0.25131538003538656
100, 0.01, 1, 3, 200, 0.2656593791996778
100, 0.01, 1, 3, 250, 0.25591769219121224
100, 0.01, 1, 10, 100, 0.42244628564732045
100, 0.01, 1, 10, 150, 0.41708983196041743
100, 0.01, 1, 10, 200, 0.43027312382006494
100, 0.01, 1, 10, 250, 0.4096015791804796
100, 0.01, 1, 30, 100, 0.43560939195625265
100, 0.01, 1, 30, 150, 0.4598320151885378
100, 0.01, 1, 30, 200, 0.45472491579590396
100, 0.01, 1, 30, 250, 0.4617222476559194
100, 0.01, 1, 50, 100, 0.4329413895369484
100, 0.01, 1, 50, 150, 0.35814670335448634
100, 0.01, 1, 50, 200, 0.35854792602030455
100, 0.01, 1, 50, 250, 0.34778010814330007
100, 0.01, 1, 70, 100, 0.33290468202304796
100, 0.01, 1, 70, 150, 0.31476382123080016
100, 0.01, 1, 70, 200, 0.22562825821397225
100, 0.01, 1, 70, 250, 0.22064816570017004
100, 0.01, 1, 90, 100, 0.34893136601415414
100, 0.01, 1, 90, 150, 0.302886111749018
100, 0.01, 1, 90, 200, 0.2879339252074552
100, 0.01, 1, 90, 250, 0.28098680739356124
100, 0.01, 1, 110, 100, 0.3672551133759394
100, 0.01, 1, 110, 150, 0.30583746397451433
100, 0.01, 1, 110, 200, 0.2792541072165836
100, 0.01, 1, 110, 250, 0.290259799171771
100, 0.01, 0.1, 3, 100, 0.25120878308386735
100, 0.01, 0.1, 3, 150, 0.25114005475493484
100, 0.01, 0.1, 3, 200, 0.24925653161545672
100, 0.01, 0.1, 3, 250, 0.24016561210419016
100, 0.01, 0.1, 10, 100, 0.36300681612552743
100, 0.01, 0.1, 10, 150, 0.3665750137437972
100, 0.01, 0.1, 10, 200, 0.35679584545212295
100, 0.01, 0.1, 10, 250, 0.3711075292074845
100, 0.01, 0.1, 30, 100, 0.48693501396204647
