alpha, beta, latent_features, steps, C, NDCG
100000000.0, 100000000.0, 15, 150, 0.0001, 0.49588226586821754
100000000.0, 100000000.0, 15, 150, 1e-05, 0.49425637013417345
100000000.0, 100000000.0, 15, 150, 1e-06, 0.47203459990686936
100000000.0, 100000000.0, 15, 150, 0, 0.4792704233238993
100000000.0, 100000000.0, 15, 200, 1000, 0.49451724527319463
100000000.0, 100000000.0, 15, 200, 100, 0.4813348964619511
100000000.0, 100000000.0, 15, 200, 1, 0.496882481374176
100000000.0, 100000000.0, 15, 200, 0.1, 0.48761394827840865
100000000.0, 100000000.0, 15, 200, 0.01, 0.5065531569438334
100000000.0, 100000000.0, 15, 200, 0.001, 0.475961873090913
100000000.0, 100000000.0, 15, 200, 0.0001, 0.4881256952670872
100000000.0, 100000000.0, 15, 200, 1e-05, 0.48901684055639427
100000000.0, 100000000.0, 15, 200, 1e-06, 0.4866925901286187
100000000.0, 100000000.0, 15, 200, 0, 0.5068738064442243
100000000.0, 100000000.0, 20, 1, 1000, 0.472700351909532
100000000.0, 100000000.0, 20, 1, 100, 0.45710234473071865
100000000.0, 100000000.0, 20, 1, 1, 0.48132649331325567
100000000.0, 100000000.0, 20, 1, 0.1, 0.46062559278601856
100000000.0, 100000000.0, 20, 1, 0.01, 0.46544626422864965
100000000.0, 100000000.0, 20, 1, 0.001, 0.43482889245422174
100000000.0, 100000000.0, 20, 1, 0.0001, 0.4725815148138723
100000000.0, 100000000.0, 20, 1, 1e-05, 0.4619950710341208
100000000.0, 100000000.0, 20, 1, 1e-06, 0.4556835224694307
100000000.0, 100000000.0, 20, 1, 0, 0.4855965021310219
100000000.0, 100000000.0, 20, 50, 1000, 0.4513807170788833
100000000.0, 100000000.0, 20, 50, 100, 0.438522403428961
100000000.0, 100000000.0, 20, 50, 1, 0.48244774137368074
100000000.0, 100000000.0, 20, 50, 0.1, 0.4929712160843424
100000000.0, 100000000.0, 20, 50, 0.01, 0.4718771526448593
100000000.0, 100000000.0, 20, 50, 0.001, 0.49400465721229947
100000000.0, 100000000.0, 20, 50, 0.0001, 0.5093218038005815
100000000.0, 100000000.0, 20, 50, 1e-05, 0.4888916662503045
100000000.0, 100000000.0, 20, 50, 1e-06, 0.47132228542066273
100000000.0, 100000000.0, 20, 50, 0, 0.4965185616321074
100000000.0, 100000000.0, 20, 100, 1000, 0.4510688666918331
100000000.0, 100000000.0, 20, 100, 100, 0.4797420148956647
100000000.0, 100000000.0, 20, 100, 1, 0.5183947351612488
100000000.0, 100000000.0, 20, 100, 0.1, 0.502932124994742
100000000.0, 100000000.0, 20, 100, 0.01, 0.49209526274445947
100000000.0, 100000000.0, 20, 100, 0.001, 0.49559316773249334
100000000.0, 100000000.0, 20, 100, 0.0001, 0.4874859261162441
100000000.0, 100000000.0, 20, 100, 1e-05, 0.4864435303537724
100000000.0, 100000000.0, 20, 100, 1e-06, 0.5122186178981828
100000000.0, 100000000.0, 20, 100, 0, 0.48293020525889424
100000000.0, 100000000.0, 20, 150, 1000, 0.4499794217562772
100000000.0, 100000000.0, 20, 150, 100, 0.4481209359860281
100000000.0, 100000000.0, 20, 150, 1, 0.493767365213841
100000000.0, 100000000.0, 20, 150, 0.1, 0.5199116120440481
100000000.0, 100000000.0, 20, 150, 0.01, 0.4987359261600743
100000000.0, 100000000.0, 20, 150, 0.001, 0.4912464839955542
100000000.0, 100000000.0, 20, 150, 0.0001, 0.5186669800373003
100000000.0, 100000000.0, 20, 150, 1e-05, 0.5016032724431286
100000000.0, 100000000.0, 20, 150, 1e-06, 0.5065412124745883
100000000.0, 100000000.0, 20, 150, 0, 0.4700287296924106
100000000.0, 100000000.0, 20, 200, 1000, 0.44997708430456035
100000000.0, 100000000.0, 20, 200, 100, 0.43137496609643583
100000000.0, 100000000.0, 20, 200, 1, 0.47710103751403493
100000000.0, 100000000.0, 20, 200, 0.1, 0.49785265651114696
100000000.0, 100000000.0, 20, 200, 0.01, 0.4899132308576615
100000000.0, 100000000.0, 20, 200, 0.001, 0.506837659871387
100000000.0, 100000000.0, 20, 200, 0.0001, 0.4805707737957057
100000000.0, 100000000.0, 20, 200, 1e-05, 0.5067494909951225
100000000.0, 100000000.0, 20, 200, 1e-06, 0.4993449828920379
100000000.0, 100000000.0, 20, 200, 0, 0.4820692869940258
100000000.0, 1000000.0, 3, 1, 1000, 0.08699656712214451
100000000.0, 1000000.0, 3, 1, 100, 0.07126511743270847
100000000.0, 1000000.0, 3, 1, 1, 0.07547247166563968
100000000.0, 1000000.0, 3, 1, 0.1, 0.05532128435782277
